Policy,Coding,Bipartisan,Tag,Topic,Net Support,Democratic Position Support,Republican Position Support,Normie Position,Position Support,Opposition Support,Salience,Policy Text,Democratic Argument 1,Democratic Argument 2,Republican Argument 1,Republican Argument 2,Supporter Argument 1,Supporter Argument 2,Opponent Argument 1,Opponent Argument 2,Net Support (%),Democratic Position Support (%),Republican Position Support (%),Normie Position (%),Position Support (%),Opposition Support (%)
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
